location,date,new_cases_per_million,new_deaths_per_million
Africa,2020-02-17,0,0
Africa,2020-02-24,0,0
Africa,2020-03-02,0.003,0
Africa,2020-03-09,0.006,0
Africa,2020-03-16,0.065,0
Africa,2020-03-23,0.284,0.007
Africa,2020-03-30,0.307,0.016
Africa,2020-04-06,0.523,0.032
Africa,2020-04-13,0.577,0.034
Africa,2020-04-20,0.864,0.028
Africa,2020-04-27,0.995,0.029
Africa,2020-05-04,1.983,0.034
Africa,2020-05-11,2.287,0.04
Africa,2020-05-18,2.736,0.054
Africa,2020-05-25,3.07,0.093
Africa,2020-06-01,4.315,0.09
Africa,2020-06-08,4.959,0.131
Africa,2020-06-15,7.177,0.226
Africa,2020-06-22,6.705,0.166
Africa,2020-06-29,8.241,0.161
Africa,2020-07-06,10.232,0.186
Africa,2020-07-13,11.988,0.163
Africa,2020-07-20,11.581,0.189
Africa,2020-07-27,10.016,0.305
Africa,2020-08-03,8.096,0.239
Africa,2020-08-10,6.812,0.238
Africa,2020-08-17,6.618,0.197
Africa,2020-08-24,5.606,0.164
Africa,2020-08-31,5.076,0.169
Africa,2020-09-07,5.129,0.163
Africa,2020-09-14,4.836,0.128
Africa,2020-09-21,4.586,0.094
Africa,2020-09-28,4.229,0.219
Africa,2020-10-05,3.516,0.095
Africa,2020-10-12,4.391,0.144
Africa,2020-10-19,7.227,0.137
Africa,2020-10-26,7.995,0.26
Africa,2020-11-02,5.659,0.16
Africa,2020-11-09,6.631,0.186
Africa,2020-11-16,7.686,0.208
Africa,2020-11-23,7.517,0.201
Africa,2020-11-30,7.72,0.201
Africa,2020-12-07,7.928,0.185
Africa,2020-12-14,8.443,0.232
Africa,2020-12-21,12.518,0.32
Africa,2020-12-28,11.346,0.407
Asia,2020-01-27,0.174,0.006
Asia,2020-02-03,0.666,0.014
Asia,2020-02-10,0.547,0.023
Asia,2020-02-17,0.417,0.021
Asia,2020-02-24,0.105,0.034
Asia,2020-03-02,0.298,0.014
Asia,2020-03-09,0.196,0.015
Asia,2020-03-16,0.371,0.033
Asia,2020-03-23,0.663,0.034
Asia,2020-03-30,1.564,0.045
Asia,2020-04-06,2.154,0.068
Asia,2020-04-13,2.489,0.072
Asia,2020-04-20,3.016,0.077
Asia,2020-04-27,2.389,0.078
Asia,2020-05-04,3.073,0.098
Asia,2020-05-11,3.571,0.066
Asia,2020-05-18,4.487,0.083
Asia,2020-05-25,4.703,0.073
Asia,2020-06-01,6.027,0.111
Asia,2020-06-08,6.713,0.141
Asia,2020-06-15,8.03,0.196
Asia,2020-06-22,8.739,0.173
Asia,2020-06-29,9.582,0.223
Asia,2020-07-06,10.815,0.25
Asia,2020-07-13,12.186,0.254
Asia,2020-07-20,13.223,0.302
Asia,2020-07-27,14.922,0.26
Asia,2020-08-03,16.215,0.357
Asia,2020-08-10,17.548,0.367
Asia,2020-08-17,16.794,0.294
Asia,2020-08-24,18.598,0.319
Asia,2020-08-31,20.303,0.284
Asia,2020-09-07,21.791,0.358
Asia,2020-09-14,24.965,0.41
Asia,2020-09-21,22.834,0.365
Asia,2020-09-28,21.233,0.307
Asia,2020-10-05,20.978,0.349
Asia,2020-10-12,19.488,0.303
Asia,2020-10-19,17.746,0.311
Asia,2020-10-26,15.657,0.299
Asia,2020-11-02,17.923,0.317
Asia,2020-11-09,18.448,0.331
Asia,2020-11-16,17.396,0.323
Asia,2020-11-23,20.875,0.356
Asia,2020-11-30,24.876,0.353
Asia,2020-12-07,23.356,0.328
Asia,2020-12-14,20.324,0.316
Asia,2020-12-21,17.136,0.311
Asia,2020-12-28,15.091,0.281
Australia,2020-03-02,0.118,0
Australia,2020-03-09,0.588,0
Australia,2020-03-16,3.137,0
Australia,2020-03-23,5.216,0
Australia,2020-03-30,14.784,0.039
Australia,2020-04-06,4.314,0.196
Australia,2020-04-13,1.412,0.039
Australia,2020-04-20,0.51,0
Australia,2020-04-27,0.275,0
Australia,2020-05-04,0.98,0.039
Australia,2020-05-11,0.863,0
Australia,2020-05-18,0.549,0
Australia,2020-05-25,0.471,0
Australia,2020-06-01,0.745,-0.039
Australia,2020-06-08,0.078,0
Australia,2020-06-15,0.471,0
Australia,2020-06-22,0.706,0
Australia,2020-06-29,2.745,0
Australia,2020-07-06,6.745,0
Australia,2020-07-13,10.628,0
Australia,2020-07-20,14.078,0.118
Australia,2020-07-27,14.431,0.235
Australia,2020-08-03,16.157,0.431
Australia,2020-08-10,12.392,0.706
Australia,2020-08-17,8.431,0.667
Australia,2020-08-24,5.412,0.314
Australia,2020-08-31,2.863,0.196
Australia,2020-09-07,2.039,0.314
Australia,2020-09-14,1.843,0
Australia,2020-09-21,1.176,0.118
Australia,2020-09-28,0.431,0.275
Australia,2020-10-05,0.98,0.039
Australia,2020-10-12,0.98,0.039
Australia,2020-10-19,0.235,0
Australia,2020-10-26,0.549,0
Australia,2020-11-02,0.353,0
Australia,2020-11-09,0.157,0
Australia,2020-11-16,0.353,0
Australia,2020-11-23,0.353,0
Australia,2020-11-30,0.392,0
Australia,2020-12-07,0.588,0
Australia,2020-12-14,0.431,0
Australia,2020-12-21,0.824,0
Australia,2020-12-28,0.471,0
Europe,2020-01-27,0.001,0
Europe,2020-02-03,0.011,0
Europe,2020-02-10,0,0
Europe,2020-02-17,0.001,0
Europe,2020-02-24,0.102,0.005
Europe,2020-03-02,0.757,0.025
Europe,2020-03-09,4.197,0.156
Europe,2020-03-16,14.687,0.669
Europe,2020-03-23,35.271,2.092
Europe,2020-03-30,43.617,4.063
Europe,2020-04-06,36.6,4.743
Europe,2020-04-13,33.588,4.312
Europe,2020-04-20,31.566,3.784
Europe,2020-04-27,32.263,2.773
Europe,2020-05-04,28.132,2.036
Europe,2020-05-11,31.817,1.555
Europe,2020-05-18,22.572,1.091
Europe,2020-05-25,19.108,-1.809
Europe,2020-06-01,19.62,0.617
Europe,2020-06-08,20.234,0.556
Europe,2020-06-15,18.758,0.439
Europe,2020-06-22,18.097,0.31
Europe,2020-06-29,17.297,0.353
Europe,2020-07-06,18.183,0.377
Europe,2020-07-13,19.409,0.323
Europe,2020-07-20,24.045,0.309
Europe,2020-07-27,28.876,0.28
Europe,2020-08-03,33.357,0.351
Europe,2020-08-10,36.916,0.449
Europe,2020-08-17,41.052,0.342
Europe,2020-08-24,49.304,0.37
Europe,2020-08-31,57.477,0.477
Europe,2020-09-07,68.119,0.437
Europe,2020-09-14,74.597,0.494
Europe,2020-09-21,87.995,0.629
Europe,2020-09-28,91.705,0.736
Europe,2020-10-05,112.208,0.852
Europe,2020-10-12,153.271,1.182
Europe,2020-10-19,220.648,1.646
Europe,2020-10-26,379.551,2.562
Europe,2020-11-02,462.744,3.553
Europe,2020-11-09,325.928,4.588
Europe,2020-11-16,314.325,5.414
Europe,2020-11-23,257.527,5.8
Europe,2020-11-30,219.806,5.765
Europe,2020-12-07,202.964,5.303
Europe,2020-12-14,212.153,5.454
Europe,2020-12-21,249.876,5.558
Europe,2020-12-28,230.572,5.603
North America,2020-01-27,0,0
North America,2020-02-03,0.005,0
North America,2020-02-10,0,0
North America,2020-02-17,0.002,0
North America,2020-02-24,0.002,0
North America,2020-03-02,0.044,0.008
North America,2020-03-09,0.155,0.003
North America,2020-03-16,2.848,0.052
North America,2020-03-23,20.312,0.343
North America,2020-03-30,39.745,1.292
North America,2020-04-06,55.512,3.219
North America,2020-04-13,49.222,3.699
North America,2020-04-20,55.747,4.087
North America,2020-04-27,45.038,3.017
North America,2020-05-04,46.616,2.976
North America,2020-05-11,37.999,2.201
North America,2020-05-18,45.349,2.517
North America,2020-05-25,39.569,1.579
North America,2020-06-01,38.002,1.834
North America,2020-06-08,38.902,1.578
North America,2020-06-15,42.299,1.517
North America,2020-06-22,67.64,2.147
North America,2020-06-29,82.541,1.583
North America,2020-07-06,88.361,1.632
North America,2020-07-13,115.575,1.726
North America,2020-07-20,121.835,1.648
North America,2020-07-27,112.77,2.746
North America,2020-08-03,91.448,1.569
North America,2020-08-10,97.214,2.434
North America,2020-08-17,73.393,1.431
North America,2020-08-24,74.824,1.523
North America,2020-08-31,75.243,1.52
North America,2020-09-07,52.455,1.059
North America,2020-09-14,73.706,1.284
North America,2020-09-21,103.055,1.241
North America,2020-09-28,72.187,1.047
North America,2020-10-05,125.986,5.704
North America,2020-10-12,84.307,1.089
North America,2020-10-19,132.771,1.26
North America,2020-10-26,133.519,1.49
North America,2020-11-02,161.039,1.463
North America,2020-11-09,226.047,1.868
North America,2020-11-16,296.204,2.174
North America,2020-11-23,327.889,2.564
North America,2020-11-30,303.971,3.067
North America,2020-12-07,362.542,3.695
North America,2020-12-14,362.099,3.804
North America,2020-12-21,368.073,4.315
North America,2020-12-28,328.161,4.597
South America,2020-02-24,0,0
South America,2020-03-02,0,0
South America,2020-03-09,0.016,0
South America,2020-03-16,0.548,0
South America,2020-03-23,1.885,0.035
South America,2020-03-30,2.294,0.098
South America,2020-04-06,4.666,0.276
South America,2020-04-13,9.458,0.385
South America,2020-04-20,9.762,0.52
South America,2020-04-27,16.116,1.124
South America,2020-05-04,28.062,0.991
South America,2020-05-11,24.733,1.532
South America,2020-05-18,48.554,2.319
South America,2020-05-25,53.475,2.711
South America,2020-06-01,58.125,2.068
South America,2020-06-08,61.556,3.533
South America,2020-06-15,78.176,2.266
South America,2020-06-22,84.051,2.403
South America,2020-06-29,88.102,2.846
South America,2020-07-06,78.863,2.753
South America,2020-07-13,82.645,2.902
South America,2020-07-20,92.256,3.118
South America,2020-07-27,127.934,4.005
South America,2020-08-03,94.844,3.492
South America,2020-08-10,115.993,3.563
South America,2020-08-17,107.981,3.324
South America,2020-08-24,116.306,3.763
South America,2020-08-31,172.291,3.187
South America,2020-09-07,64.5,15.162
South America,2020-09-14,97.263,2.872
South America,2020-09-21,86.046,2.496
South America,2020-09-28,90.96,2.505
South America,2020-10-05,93.658,2.749
South America,2020-10-12,71.388,1.98
South America,2020-10-19,119.261,2.855
South America,2020-10-26,92.425,2.284
South America,2020-11-02,70.956,2.071
South America,2020-11-09,67.755,2.082
South America,2020-11-16,75.963,1.943
South America,2020-11-23,72.918,1.725
South America,2020-11-30,88.922,1.952
South America,2020-12-07,79.845,1.832
South America,2020-12-14,108.025,2.465
South America,2020-12-21,111.392,2.451
South America,2020-12-28,102.498,2.296
