Country,Response_measure,date_start,date_end,anyo,inicio,fin
Austria,BanOnAllEvents,2020-11-03,NA,1,03-11-2020,NA
Austria,EntertainmentVenues,2020-03-16,2020-04-30,2,16-03-2020,30-04-2020
Austria,EntertainmentVenues,2020-11-03,2021-02-07,2,03-11-2020,07-02-2021
Austria,NonEssentialShops,2020-03-16,2020-04-13,3,16-03-2020,13-04-2020
Austria,NonEssentialShops,2020-11-17,2020-12-06,3,17-11-2020,06-12-2020
Austria,NonEssentialShops,2020-12-26,2021-02-07,3,26-12-2020,07-02-2021
Austria,RegionalStayHomeOrder,2021-04-01,NA,4,01-04-2021,NA
Austria,RestaurantsCafes,2020-03-16,2020-05-15,5,16-03-2020,15-05-2020
Austria,RestaurantsCafes,2020-11-03,NA,5,03-11-2020,NA
Austria,StayHomeOrder,2020-03-16,2020-04-30,6,16-03-2020,30-04-2020
Austria,StayHomeOrder,2020-11-17,2021-02-07,6,17-11-2020,07-02-2021
Austria,Teleworking,2020-03-10,NA,7,10-03-2020,NA
Belgium,BanOnAllEvents,2020-11-02,2021-03-07,1,02-11-2020,07-03-2021
Belgium,EntertainmentVenues,2020-03-13,2020-05-17,2,13-03-2020,17-05-2020
Belgium,EntertainmentVenues,2020-11-02,NA,2,02-11-2020,NA
Belgium,NonEssentialShops,2020-03-13,2020-05-03,3,13-03-2020,03-05-2020
Belgium,NonEssentialShops,2020-11-02,2020-11-30,3,02-11-2020,30-11-2020
Belgium,RestaurantsCafes,2020-03-13,2020-06-07,5,13-03-2020,07-06-2020
Belgium,RestaurantsCafes,2020-10-19,NA,5,19-10-2020,NA
Belgium,StayHomeOrder,2020-03-18,2020-05-09,6,18-03-2020,09-05-2020
Belgium,Teleworking,2020-03-10,2020-06-07,7,10-03-2020,07-06-2020
Belgium,Teleworking,2020-10-19,NA,7,19-10-2020,NA
Bulgaria,BanOnAllEvents,2020-03-08,2020-05-14,1,08-03-2020,14-05-2020
Bulgaria,EntertainmentVenues,2020-03-13,2020-05-17,2,13-03-2020,17-05-2020
Bulgaria,NonEssentialShops,2020-03-13,2020-05-17,3,13-03-2020,17-05-2020
Bulgaria,NonEssentialShops,2020-11-27,2021-01-31,3,27-11-2020,31-01-2021
Bulgaria,NonEssentialShops,2021-03-22,2021-03-31,3,22-03-2021,31-03-2021
Bulgaria,RestaurantsCafes,2020-03-13,2020-05-31,5,13-03-2020,31-05-2020
Bulgaria,RestaurantsCafes,2020-12-01,2021-02-28,5,01-12-2020,28-02-2021
Bulgaria,Teleworking,2020-03-13,2020-03-29,7,13-03-2020,29-03-2020
Bulgaria,Teleworking,2020-11-14,2020-11-26,7,14-11-2020,26-11-2020
Croatia,BanOnAllEvents,2020-03-19,2020-04-18,1,19-03-2020,18-04-2020
Croatia,EntertainmentVenues,2020-03-19,2020-05-28,2,19-03-2020,28-05-2020
Croatia,NonEssentialShops,2020-03-19,2020-04-27,3,19-03-2020,27-04-2020
Croatia,RestaurantsCafes,2020-03-19,2020-05-11,5,19-03-2020,11-05-2020
Croatia,RestaurantsCafes,2020-11-28,2021-02-28,5,28-11-2020,28-02-2021
Croatia,Teleworking,2020-03-19,2020-05-27,7,19-03-2020,27-05-2020
Cyprus,BanOnAllEvents,2020-03-10,2020-06-24,1,10-03-2020,24-06-2020
Cyprus,EntertainmentVenues,2020-03-16,2020-05-20,2,16-03-2020,20-05-2020
Cyprus,EntertainmentVenues,2020-12-11,2021-02-07,2,11-12-2020,07-02-2021
Cyprus,NonEssentialShops,2020-03-16,2020-05-03,3,16-03-2020,03-05-2020
Cyprus,RestaurantsCafes,2020-03-16,2020-05-20,5,16-03-2020,20-05-2020
Cyprus,RestaurantsCafes,2020-12-11,2021-03-14,5,11-12-2020,14-03-2021
Cyprus,StayHomeOrder,2020-03-24,2020-05-03,6,24-03-2020,03-05-2020
Cyprus,StayHomeOrder,2021-01-10,NA,6,10-01-2021,NA
Cyprus,WorkplaceClosures,2020-03-16,2020-04-14,8,16-03-2020,14-04-2020
Czechia,BanOnAllEvents,2020-10-22,2020-12-03,1,22-10-2020,03-12-2020
Czechia,BanOnAllEvents,2020-12-18,NA,1,18-12-2020,NA
Czechia,EntertainmentVenues,2020-03-17,2020-05-10,2,17-03-2020,10-05-2020
Czechia,EntertainmentVenues,2020-10-14,2020-12-02,2,14-10-2020,02-12-2020
Czechia,EntertainmentVenues,2020-12-18,NA,2,18-12-2020,NA
Czechia,NonEssentialShops,2020-03-14,2020-05-11,3,14-03-2020,11-05-2020
Czechia,NonEssentialShops,2020-10-22,2020-12-02,3,22-10-2020,02-12-2020
Czechia,NonEssentialShops,2020-12-27,NA,3,27-12-2020,NA
Czechia,RestaurantsCafes,2020-03-14,2020-05-10,5,14-03-2020,10-05-2020
Czechia,RestaurantsCafes,2020-10-14,2020-12-02,5,14-10-2020,02-12-2020
Czechia,RestaurantsCafes,2020-12-18,NA,5,18-12-2020,NA
Czechia,StayHomeOrder,2020-03-16,2020-04-24,6,16-03-2020,24-04-2020
Czechia,StayHomeOrder,2020-10-22,2020-12-03,6,22-10-2020,03-12-2020
Czechia,StayHomeOrder,2020-12-18,2021-04-11,6,18-12-2020,11-04-2021
Czechia,Teleworking,2020-10-22,NA,7,22-10-2020,NA
Denmark,BanOnAllEvents,2020-10-26,2021-04-05,1,26-10-2020,05-04-2021
Denmark,EntertainmentVenues,2020-03-18,2020-06-08,2,18-03-2020,08-06-2020
Denmark,EntertainmentVenues,2020-12-16,NA,2,16-12-2020,NA
Denmark,NonEssentialShops,2020-04-28,2020-05-10,3,28-04-2020,10-05-2020
Denmark,NonEssentialShops,2020-12-16,2021-02-28,3,16-12-2020,28-02-2021
Denmark,NonEssentialShops,2021-04-06,2021-04-12,3,06-04-2021,12-04-2021
Denmark,RestaurantsCafes,2020-03-18,2020-05-17,5,18-03-2020,17-05-2020
Denmark,RestaurantsCafes,2020-12-16,NA,5,16-12-2020,NA
Denmark,Teleworking,2020-03-13,2020-06-14,7,13-03-2020,14-06-2020
Denmark,Teleworking,2020-12-16,2021-04-05,7,16-12-2020,05-04-2021
Denmark,WorkplaceClosures,2020-03-13,2020-05-10,8,13-03-2020,10-05-2020
Estonia,EntertainmentVenues,2020-03-12,2020-05-16,2,12-03-2020,16-05-2020
Estonia,EntertainmentVenues,2021-03-03,NA,2,03-03-2021,NA
Estonia,NonEssentialShops,2020-03-27,2020-05-17,3,27-03-2020,17-05-2020
Estonia,RestaurantsCafes,2021-03-11,NA,5,11-03-2021,NA
Finland,EntertainmentVenues,2020-03-18,2020-05-31,2,18-03-2020,31-05-2020
Finland,RestaurantsCafes,2020-03-18,2020-05-31,5,18-03-2020,31-05-2020
Finland,Teleworking,2020-03-18,2020-08-01,7,18-03-2020,01-08-2020
France,BanOnAllEvents,2020-10-19,NA,1,19-10-2020,NA
France,EntertainmentVenues,2020-03-16,2020-06-01,2,16-03-2020,01-06-2020
France,EntertainmentVenues,2020-10-28,NA,2,28-10-2020,NA
France,NonEssentialShops,2020-03-16,2020-05-10,3,16-03-2020,10-05-2020
France,NonEssentialShops,2020-10-29,2020-11-27,3,29-10-2020,27-11-2020
France,RestaurantsCafes,2020-03-16,2020-06-01,5,16-03-2020,01-06-2020
France,RestaurantsCafes,2020-10-28,NA,5,28-10-2020,NA
France,StayHomeOrder,2020-03-17,2020-05-11,6,17-03-2020,11-05-2020
France,StayHomeOrder,2020-10-28,2020-12-14,6,28-10-2020,14-12-2020
France,Teleworking,2020-03-17,2020-05-10,7,17-03-2020,10-05-2020
France,Teleworking,2020-10-29,NA,7,29-10-2020,NA
France,WorkplaceClosures,2020-03-17,2020-05-11,8,17-03-2020,11-05-2020
Germany,BanOnAllEvents,2020-03-23,2020-05-10,1,23-03-2020,10-05-2020
Germany,BanOnAllEvents,2020-11-02,NA,1,02-11-2020,NA
Germany,EntertainmentVenues,2020-03-16,2020-05-04,2,16-03-2020,04-05-2020
Germany,EntertainmentVenues,2020-11-02,2021-03-07,2,02-11-2020,07-03-2021
Germany,NonEssentialShops,2020-03-16,2020-04-20,3,16-03-2020,20-04-2020
Germany,NonEssentialShops,2020-12-16,2021-03-07,3,16-12-2020,07-03-2021
Germany,RestaurantsCafes,2020-03-23,2020-05-04,5,23-03-2020,04-05-2020
Germany,RestaurantsCafes,2020-11-02,NA,5,02-11-2020,NA
Germany,Teleworking,2021-01-19,NA,7,19-01-2021,NA
Greece,BanOnAllEvents,2020-11-07,2021-01-25,1,07-11-2020,25-01-2021
Greece,EntertainmentVenues,2020-03-14,2020-05-17,2,14-03-2020,17-05-2020
Greece,EntertainmentVenues,2020-11-07,NA,2,07-11-2020,NA
Greece,NonEssentialShops,2020-03-14,2020-05-03,3,14-03-2020,03-05-2020
Greece,NonEssentialShops,2020-11-07,2021-01-17,3,07-11-2020,17-01-2021
Greece,RegionalStayHomeOrder,2020-11-03,2020-11-06,4,03-11-2020,06-11-2020
Greece,RegionalStayHomeOrder,2021-01-11,2021-02-05,4,11-01-2021,05-02-2021
Greece,RestaurantsCafes,2020-03-14,2020-05-31,5,14-03-2020,31-05-2020
Greece,RestaurantsCafes,2020-11-07,NA,5,07-11-2020,NA
Greece,StayHomeOrder,2020-03-23,2020-05-04,6,23-03-2020,04-05-2020
Greece,Teleworking,2020-03-19,NA,7,19-03-2020,NA
Hungary,BanOnAllEvents,2020-03-16,2020-06-11,1,16-03-2020,11-06-2020
Hungary,BanOnAllEvents,2020-11-11,NA,1,11-11-2020,NA
Hungary,EntertainmentVenues,2020-03-13,2020-05-18,2,13-03-2020,18-05-2020
Hungary,EntertainmentVenues,2020-11-04,NA,2,04-11-2020,NA
Hungary,NonEssentialShops,2020-03-28,2020-05-18,3,28-03-2020,18-05-2020
Hungary,NonEssentialShops,2021-03-08,2021-04-06,3,08-03-2021,06-04-2021
Hungary,RestaurantsCafes,2020-03-28,2020-05-18,5,28-03-2020,18-05-2020
Hungary,RestaurantsCafes,2020-11-11,NA,5,11-11-2020,NA
Hungary,StayHomeOrder,2020-03-27,2020-05-18,6,27-03-2020,18-05-2020
Hungary,StayHomeOrder,2021-04-07,NA,6,07-04-2021,NA
Iceland,EntertainmentVenues,2020-03-16,2020-05-03,2,16-03-2020,03-05-2020
Iceland,EntertainmentVenues,2020-11-01,2020-12-09,2,01-11-2020,09-12-2020
Iceland,EntertainmentVenues,2021-03-25,NA,2,25-03-2021,NA
Iceland,RestaurantsCafes,2020-03-16,2020-05-25,5,16-03-2020,25-05-2020
Ireland,BanOnAllEvents,2020-03-24,2020-06-28,1,24-03-2020,28-06-2020
Ireland,BanOnAllEvents,2020-10-21,2020-11-30,1,21-10-2020,30-11-2020
Ireland,BanOnAllEvents,2020-12-31,NA,1,31-12-2020,NA
Ireland,EntertainmentVenues,2020-03-12,2020-06-29,2,12-03-2020,29-06-2020
Ireland,EntertainmentVenues,2020-10-06,2020-11-30,2,06-10-2020,30-11-2020
Ireland,EntertainmentVenues,2020-12-25,NA,2,25-12-2020,NA
Ireland,NonEssentialShops,2020-03-24,2020-06-29,3,24-03-2020,29-06-2020
Ireland,NonEssentialShops,2020-10-21,2020-11-30,3,21-10-2020,30-11-2020
Ireland,NonEssentialShops,2021-01-01,NA,3,01-01-2021,NA
Ireland,RestaurantsCafes,2020-03-24,2020-06-29,5,24-03-2020,29-06-2020
Ireland,RestaurantsCafes,2020-10-21,2020-12-03,5,21-10-2020,03-12-2020
Ireland,RestaurantsCafes,2020-12-25,NA,5,25-12-2020,NA
Ireland,StayHomeOrder,2020-03-27,2020-05-17,6,27-03-2020,17-05-2020
Ireland,StayHomeOrder,2020-10-21,2020-11-30,6,21-10-2020,30-11-2020
Ireland,StayHomeOrder,2020-12-31,NA,6,31-12-2020,NA
Ireland,Teleworking,2020-03-12,NA,7,12-03-2020,NA
Italy,BanOnAllEvents,2020-03-09,2020-06-11,1,09-03-2020,11-06-2020
Italy,BanOnAllEvents,2020-11-06,NA,1,06-11-2020,NA
Italy,EntertainmentVenues,2020-03-10,2020-05-17,2,10-03-2020,17-05-2020
Italy,EntertainmentVenues,2020-10-26,2021-03-26,2,26-10-2020,26-03-2021
Italy,NonEssentialShops,2020-03-10,2020-04-13,3,10-03-2020,13-04-2020
Italy,NonEssentialShops,2020-12-24,2021-01-06,3,24-12-2020,06-01-2021
Italy,RegionalStayHomeOrder,2021-01-16,2021-01-31,4,16-01-2021,31-01-2021
Italy,RegionalStayHomeOrder,2021-02-08,2021-02-21,4,08-02-2021,21-02-2021
Italy,RegionalStayHomeOrder,2021-03-08,NA,4,08-03-2021,NA
Italy,RestaurantsCafes,2020-12-24,2021-01-06,5,24-12-2020,06-01-2021
Italy,StayHomeOrder,2020-03-10,2020-05-04,6,10-03-2020,04-05-2020
Italy,Teleworking,2020-03-12,2020-06-10,7,12-03-2020,10-06-2020
Italy,Teleworking,2020-10-16,2021-04-06,7,16-10-2020,06-04-2021
Latvia,BanOnAllEvents,2020-11-09,NA,1,09-11-2020,NA
Latvia,EntertainmentVenues,2020-03-17,2020-05-11,2,17-03-2020,11-05-2020
Latvia,EntertainmentVenues,2020-11-09,NA,2,09-11-2020,NA
Latvia,RestaurantsCafes,2020-11-09,NA,5,09-11-2020,NA
Latvia,Teleworking,2020-03-17,NA,7,17-03-2020,NA
Liechtenstein,BanOnAllEvents,2020-12-20,NA,1,20-12-2020,NA
Liechtenstein,EntertainmentVenues,2020-03-17,2020-06-06,2,17-03-2020,06-06-2020
Liechtenstein,EntertainmentVenues,2020-12-20,2021-02-28,2,20-12-2020,28-02-2021
Liechtenstein,NonEssentialShops,2020-03-17,2020-04-27,3,17-03-2020,27-04-2020
Liechtenstein,RestaurantsCafes,2020-03-17,2020-05-15,5,17-03-2020,15-05-2020
Liechtenstein,RestaurantsCafes,2020-10-24,2020-11-29,5,24-10-2020,29-11-2020
Liechtenstein,RestaurantsCafes,2020-12-20,NA,5,20-12-2020,NA
Lithuania,BanOnAllEvents,2020-03-12,2020-05-31,1,12-03-2020,31-05-2020
Lithuania,BanOnAllEvents,2020-11-07,2021-03-05,1,07-11-2020,05-03-2021
Lithuania,EntertainmentVenues,2020-03-16,2020-04-26,2,16-03-2020,26-04-2020
Lithuania,EntertainmentVenues,2020-12-16,2021-03-05,2,16-12-2020,05-03-2021
Lithuania,NonEssentialShops,2020-03-16,2020-04-22,3,16-03-2020,22-04-2020
Lithuania,NonEssentialShops,2020-12-16,2021-02-14,3,16-12-2020,14-02-2021
Lithuania,RestaurantsCafes,2020-03-16,2020-04-22,5,16-03-2020,22-04-2020
Lithuania,RestaurantsCafes,2020-11-07,NA,5,07-11-2020,NA
Lithuania,StayHomeOrder,2020-12-16,2021-03-31,6,16-12-2020,31-03-2021
Lithuania,Teleworking,2020-03-10,2020-06-15,7,10-03-2020,15-06-2020
Luxembourg,EntertainmentVenues,2020-03-16,2020-05-10,2,16-03-2020,10-05-2020
Luxembourg,EntertainmentVenues,2020-11-26,2021-01-10,2,26-11-2020,10-01-2021
Luxembourg,NonEssentialShops,2020-03-16,2020-04-19,3,16-03-2020,19-04-2020
Luxembourg,RestaurantsCafes,2020-03-16,2020-05-29,5,16-03-2020,29-05-2020
Luxembourg,RestaurantsCafes,2020-11-27,2021-04-06,5,27-11-2020,06-04-2021
Luxembourg,StayHomeOrder,2020-03-18,2020-04-19,6,18-03-2020,19-04-2020
Luxembourg,Teleworking,2020-03-13,NA,7,13-03-2020,NA
Malta,BanOnAllEvents,2020-03-13,NA,1,13-03-2020,NA
Malta,EntertainmentVenues,2020-03-18,2020-05-21,2,18-03-2020,21-05-2020
Malta,EntertainmentVenues,2021-03-11,NA,2,11-03-2021,NA
Malta,NonEssentialShops,2020-03-23,2020-05-21,3,23-03-2020,21-05-2020
Malta,NonEssentialShops,2021-03-10,NA,3,10-03-2021,NA
Malta,RestaurantsCafes,2020-03-18,2020-05-21,5,18-03-2020,21-05-2020
Malta,RestaurantsCafes,2021-03-11,NA,5,11-03-2021,NA
Malta,Teleworking,2020-05-08,NA,7,08-05-2020,NA
Netherlands,BanOnAllEvents,2020-03-23,2020-05-31,1,23-03-2020,31-05-2020
Netherlands,BanOnAllEvents,2020-11-04,NA,1,04-11-2020,NA
Netherlands,EntertainmentVenues,2020-03-12,2020-05-31,2,12-03-2020,31-05-2020
Netherlands,EntertainmentVenues,2020-11-04,NA,2,04-11-2020,NA
Netherlands,NonEssentialShops,2020-12-15,2021-03-02,3,15-12-2020,02-03-2021
Netherlands,RestaurantsCafes,2020-03-15,2020-05-31,5,15-03-2020,31-05-2020
Netherlands,RestaurantsCafes,2020-10-14,NA,5,14-10-2020,NA
Netherlands,Teleworking,2020-03-12,2020-05-31,7,12-03-2020,31-05-2020
Netherlands,Teleworking,2020-08-18,NA,7,18-08-2020,NA
Netherlands,WorkplaceClosures,2020-03-23,2020-05-10,8,23-03-2020,10-05-2020
Netherlands,WorkplaceClosures,2020-12-15,2021-03-02,8,15-12-2020,02-03-2021
Norway,BanOnAllEvents,2020-03-12,2020-05-06,1,12-03-2020,06-05-2020
Norway,EntertainmentVenues,2020-03-12,2020-05-31,2,12-03-2020,31-05-2020
Norway,EntertainmentVenues,2021-03-25,NA,2,25-03-2021,NA
Norway,RestaurantsCafes,2020-03-12,2020-05-31,5,12-03-2020,31-05-2020
Norway,Teleworking,2020-03-10,NA,7,10-03-2020,NA
Poland,BanOnAllEvents,2020-11-07,NA,1,07-11-2020,NA
Poland,EntertainmentVenues,2020-03-14,2020-06-06,2,14-03-2020,06-06-2020
Poland,EntertainmentVenues,2020-10-24,2021-01-31,2,24-10-2020,31-01-2021
Poland,EntertainmentVenues,2021-03-20,NA,2,20-03-2021,NA
Poland,NonEssentialShops,2020-03-14,2020-05-17,3,14-03-2020,17-05-2020
Poland,NonEssentialShops,2020-11-07,2021-01-31,3,07-11-2020,31-01-2021
Poland,NonEssentialShops,2021-03-20,NA,3,20-03-2021,NA
Poland,RestaurantsCafes,2020-03-14,2020-05-17,5,14-03-2020,17-05-2020
Poland,RestaurantsCafes,2020-10-24,NA,5,24-10-2020,NA
Poland,StayHomeOrder,2020-03-24,2020-04-18,6,24-03-2020,18-04-2020
Poland,Teleworking,2020-03-08,NA,7,08-03-2020,NA
Portugal,BanOnAllEvents,2020-05-04,NA,1,04-05-2020,NA
Portugal,EntertainmentVenues,2020-03-13,2020-05-17,2,13-03-2020,17-05-2020
Portugal,EntertainmentVenues,2021-01-15,NA,2,15-01-2021,NA
Portugal,NonEssentialShops,2020-03-15,2020-05-03,3,15-03-2020,03-05-2020
Portugal,NonEssentialShops,2021-01-15,2021-03-31,3,15-01-2021,31-03-2021
Portugal,RegionalStayHomeOrder,2020-04-02,2020-05-03,4,02-04-2020,03-05-2020
Portugal,RestaurantsCafes,2020-03-15,2020-05-31,5,15-03-2020,31-05-2020
Portugal,RestaurantsCafes,2020-11-15,2021-03-31,5,15-11-2020,31-03-2021
Portugal,StayHomeOrder,2021-01-15,NA,6,15-01-2021,NA
Portugal,Teleworking,2020-03-16,2020-05-31,7,16-03-2020,31-05-2020
Portugal,Teleworking,2021-01-15,NA,7,15-01-2021,NA
Romania,EntertainmentVenues,2020-03-18,2020-05-13,2,18-03-2020,13-05-2020
Romania,NonEssentialShops,2020-03-22,2020-05-13,3,22-03-2020,13-05-2020
Romania,RestaurantsCafes,2020-03-18,2020-05-31,5,18-03-2020,31-05-2020
Romania,Teleworking,2020-03-16,NA,7,16-03-2020,NA
Slovakia,BanOnAllEvents,2020-03-10,2020-06-03,1,10-03-2020,03-06-2020
Slovakia,EntertainmentVenues,2020-03-16,2020-05-20,2,16-03-2020,20-05-2020
Slovakia,EntertainmentVenues,2020-10-15,2020-11-15,2,15-10-2020,15-11-2020
Slovakia,EntertainmentVenues,2020-12-19,NA,2,19-12-2020,NA
Slovakia,NonEssentialShops,2020-03-16,2020-04-21,3,16-03-2020,21-04-2020
Slovakia,RestaurantsCafes,2021-01-01,NA,5,01-01-2021,NA
Slovakia,StayHomeOrder,2020-12-30,2021-02-28,6,30-12-2020,28-02-2021
Slovakia,Teleworking,2020-11-02,NA,7,02-11-2020,NA
Slovenia,BanOnAllEvents,2020-10-17,NA,1,17-10-2020,NA
Slovenia,EntertainmentVenues,2020-03-15,2020-04-28,2,15-03-2020,28-04-2020
Slovenia,NonEssentialShops,2020-03-15,2020-04-20,3,15-03-2020,20-04-2020
Slovenia,NonEssentialShops,2020-10-24,2020-12-14,3,24-10-2020,14-12-2020
Slovenia,RestaurantsCafes,2020-03-15,2020-05-03,5,15-03-2020,03-05-2020
Slovenia,StayHomeOrder,2020-03-19,2020-05-04,6,19-03-2020,04-05-2020
Slovenia,Teleworking,2020-03-04,NA,7,04-03-2020,NA
Slovenia,WorkplaceClosures,2020-03-15,2020-05-04,8,15-03-2020,04-05-2020
Spain,BanOnAllEvents,2020-03-14,2020-06-01,1,14-03-2020,01-06-2020
Spain,BanOnAllEvents,2020-10-25,NA,1,25-10-2020,NA
Spain,EntertainmentVenues,2020-03-14,2020-05-10,2,14-03-2020,10-05-2020
Spain,EntertainmentVenues,2020-08-14,NA,2,14-08-2020,NA
Spain,RestaurantsCafes,2020-03-14,2020-05-03,5,14-03-2020,03-05-2020
Spain,StayHomeOrder,2020-03-14,2020-05-03,6,14-03-2020,03-05-2020
Spain,Teleworking,2020-03-09,2020-04-12,7,09-03-2020,12-04-2020
Sweden,BanOnAllEvents,2020-06-14,NA,1,14-06-2020,NA
Sweden,Teleworking,2020-03-16,NA,7,16-03-2020,NA
Switzerland,BanOnAllEvents,2020-03-20,2020-06-05,1,20-03-2020,05-06-2020
Switzerland,BanOnAllEvents,2021-01-18,NA,1,18-01-2021,NA
Switzerland,EntertainmentVenues,2020-12-22,2021-02-28,2,22-12-2020,28-02-2021
Switzerland,NonEssentialShops,2020-03-20,2020-05-11,3,20-03-2020,11-05-2020
Switzerland,NonEssentialShops,2021-01-18,2021-03-01,3,18-01-2021,01-03-2021
Switzerland,RestaurantsCafes,2020-03-16,2020-06-06,5,16-03-2020,06-06-2020
Switzerland,RestaurantsCafes,2020-12-22,NA,5,22-12-2020,NA
Switzerland,Teleworking,2020-03-16,2021-01-17,7,16-03-2020,17-01-2021
United Kingdom,BanOnAllEvents,2020-09-14,2020-12-01,1,14-09-2020,01-12-2020
United Kingdom,EntertainmentVenues,2020-03-16,2020-07-02,2,16-03-2020,02-07-2020
United Kingdom,EntertainmentVenues,2020-11-05,2020-12-01,2,05-11-2020,01-12-2020
United Kingdom,NonEssentialShops,2020-03-23,2020-05-09,3,23-03-2020,09-05-2020
United Kingdom,NonEssentialShops,2020-11-05,2020-12-01,3,05-11-2020,01-12-2020
United Kingdom,RegionalStayHomeOrder,2020-10-23,2020-11-08,4,23-10-2020,08-11-2020
United Kingdom,RegionalStayHomeOrder,2020-12-20,2021-04-11,4,20-12-2020,11-04-2021
United Kingdom,RestaurantsCafes,2020-03-16,2020-07-02,5,16-03-2020,02-07-2020
United Kingdom,RestaurantsCafes,2020-11-05,2020-12-01,5,05-11-2020,01-12-2020
United Kingdom,StayHomeOrder,2020-03-24,2020-05-09,6,24-03-2020,09-05-2020
United Kingdom,StayHomeOrder,2020-11-05,2020-12-01,6,05-11-2020,01-12-2020
United Kingdom,Teleworking,2020-03-16,2020-05-09,7,16-03-2020,09-05-2020
